drug1.conc,drug2.conc,drug1.units,drug2.units,drug1.name,drug2.name,effect,expt.date,effect.95ci,sample
0,0,uM,uM,Gemcitabine,MSeA,1.8365,9/24/2020,0,BxPC3
0.01,0,uM,uM,Gemcitabine,MSeA,1.0397,9/24/2020,0,BxPC3
0.1,0,uM,uM,Gemcitabine,MSeA,0.5831,9/24/2020,0,BxPC3
1,0,uM,uM,Gemcitabine,MSeA,0.3096,9/24/2020,0,BxPC3
0,1.25,uM,uM,Gemcitabine,MSeA,1.9095,9/24/2020,0,BxPC3
0,2.5,uM,uM,Gemcitabine,MSeA,1.5744,9/24/2020,0,BxPC3
0,5,uM,uM,Gemcitabine,MSeA,0.6007,9/24/2020,0,BxPC3
0,10,uM,uM,Gemcitabine,MSeA,0.4175,9/24/2020,0,BxPC3
0.01,1.25,uM,uM,Gemcitabine,MSeA,0.8135,9/24/2020,0,BxPC3
0.01,2.5,uM,uM,Gemcitabine,MSeA,0.6176,9/24/2020,0,BxPC3
0.01,5,uM,uM,Gemcitabine,MSeA,0.3711,9/24/2020,0,BxPC3
0.01,10,uM,uM,Gemcitabine,MSeA,0.2947,9/24/2020,0,BxPC3
0.1,1.25,uM,uM,Gemcitabine,MSeA,0.5442,9/24/2020,0,BxPC3
0.1,2.5,uM,uM,Gemcitabine,MSeA,0.4064,9/24/2020,0,BxPC3
0.1,5,uM,uM,Gemcitabine,MSeA,0.3346,9/24/2020,0,BxPC3
0.1,10,uM,uM,Gemcitabine,MSeA,0.2694,9/24/2020,0,BxPC3
1,1.25,uM,uM,Gemcitabine,MSeA,0.2923,9/24/2020,0,BxPC3
1,2.5,uM,uM,Gemcitabine,MSeA,0.2594,9/24/2020,0,BxPC3
1,5,uM,uM,Gemcitabine,MSeA,0.2071,9/24/2020,0,BxPC3
1,10,uM,uM,Gemcitabine,MSeA,0.2074,9/24/2020,0,BxPC3
0,0,uM,uM,Gemcitabine,MSeA,1.8835,9/24/2020,0,BxPC3
0.01,0,uM,uM,Gemcitabine,MSeA,0.9947,9/24/2020,0,BxPC3
0.1,0,uM,uM,Gemcitabine,MSeA,0.5879,9/24/2020,0,BxPC3
1,0,uM,uM,Gemcitabine,MSeA,0.3078,9/24/2020,0,BxPC3
0,1.25,uM,uM,Gemcitabine,MSeA,1.9394,9/24/2020,0,BxPC3
0,2.5,uM,uM,Gemcitabine,MSeA,1.4017,9/24/2020,0,BxPC3
0,5,uM,uM,Gemcitabine,MSeA,0.6385,9/24/2020,0,BxPC3
0,10,uM,uM,Gemcitabine,MSeA,0.3527,9/24/2020,0,BxPC3
0.01,1.25,uM,uM,Gemcitabine,MSeA,0.8682,9/24/2020,0,BxPC3
0.01,2.5,uM,uM,Gemcitabine,MSeA,0.5666,9/24/2020,0,BxPC3
0.01,5,uM,uM,Gemcitabine,MSeA,0.3908,9/24/2020,0,BxPC3
0.01,10,uM,uM,Gemcitabine,MSeA,0.2824,9/24/2020,0,BxPC3
0.1,1.25,uM,uM,Gemcitabine,MSeA,0.5089,9/24/2020,0,BxPC3
0.1,2.5,uM,uM,Gemcitabine,MSeA,0.4248,9/24/2020,0,BxPC3
0.1,5,uM,uM,Gemcitabine,MSeA,0.2842,9/24/2020,0,BxPC3
0.1,10,uM,uM,Gemcitabine,MSeA,0.239,9/24/2020,0,BxPC3
1,1.25,uM,uM,Gemcitabine,MSeA,0.2702,9/24/2020,0,BxPC3
1,2.5,uM,uM,Gemcitabine,MSeA,0.2694,9/24/2020,0,BxPC3
1,5,uM,uM,Gemcitabine,MSeA,0.1879,9/24/2020,0,BxPC3
1,10,uM,uM,Gemcitabine,MSeA,0.2083,9/24/2020,0,BxPC3
0,0,uM,uM,Gemcitabine,MSeA,1.8645,9/24/2020,0,BxPC3
0.01,0,uM,uM,Gemcitabine,MSeA,0.8882,9/24/2020,0,BxPC3
0.1,0,uM,uM,Gemcitabine,MSeA,0.541,9/24/2020,0,BxPC3
1,0,uM,uM,Gemcitabine,MSeA,0.2976,9/24/2020,0,BxPC3
0,1.25,uM,uM,Gemcitabine,MSeA,1.8104,9/24/2020,0,BxPC3
0,2.5,uM,uM,Gemcitabine,MSeA,1.3658,9/24/2020,0,BxPC3
0,5,uM,uM,Gemcitabine,MSeA,0.4855,9/24/2020,0,BxPC3
0,10,uM,uM,Gemcitabine,MSeA,0.3537,9/24/2020,0,BxPC3
0.01,1.25,uM,uM,Gemcitabine,MSeA,0.7711,9/24/2020,0,BxPC3
0.01,2.5,uM,uM,Gemcitabine,MSeA,0.5328,9/24/2020,0,BxPC3
0.01,5,uM,uM,Gemcitabine,MSeA,0.3494,9/24/2020,0,BxPC3
0.01,10,uM,uM,Gemcitabine,MSeA,0.2652,9/24/2020,0,BxPC3
0.1,1.25,uM,uM,Gemcitabine,MSeA,0.5635,9/24/2020,0,BxPC3
0.1,2.5,uM,uM,Gemcitabine,MSeA,0.4155,9/24/2020,0,BxPC3
0.1,5,uM,uM,Gemcitabine,MSeA,0.2826,9/24/2020,0,BxPC3
0.1,10,uM,uM,Gemcitabine,MSeA,0.2597,9/24/2020,0,BxPC3
1,1.25,uM,uM,Gemcitabine,MSeA,0.2561,9/24/2020,0,BxPC3
1,2.5,uM,uM,Gemcitabine,MSeA,0.2377,9/24/2020,0,BxPC3
1,5,uM,uM,Gemcitabine,MSeA,0.2303,9/24/2020,0,BxPC3
1,10,uM,uM,Gemcitabine,MSeA,0.2354,9/24/2020,0,BxPC3
